"Method","Prompt","$d_{KL}(p||p^{*})$"
"Ground truth.","When were atomic weapons first used?","$0.0\pm0.0"
"GPT-4 warm","Explain the events of the first ever atomic bombing in Hiroshima in 1945","$28.3\pm0.3"
"GPT-4 warm + fluency","Describe the first instance when atomic weapons were used","$6.3\pm0.1"
"GPT-4 warm + prune","Discuss the first use of atomic weapons in history","$12.3\pm0.2"
"cold start","Cuandoństw XIV sirën nuclearęž использова","$7.5\pm0.2"
"warm start","ated Wilm Use first ever atomic wsaporiffs]S,iroshima eute 19 <","$4.4\pm0.3"
"warm + fluency","createdhöokercussionraa when atomic weapons född used","$0.7\pm0.1"
"warm + prune","enk Years first use ob atomic weaponsandal aws","$2.4\pm0.1"
"Ground truth","How can cities become more eco-friendly ","$0.0\pm0.0"
"GPT-4 warm","Describe strategies for making a city more eco-friendly.","$12.1\pm0.4"
"GPT-4 warm + fluency","What measures can a city take to become more eco-friendly?","$11.2\pm0.3"
"GPT-4 warm + prune","List examples of eco-friendly strategies for cities.","$16.0\pm0.7"
"cold start","EQnerne LiterIG waysCanimocity clean","$9.7\pm0.6"
"warm start","iy Italiesiy making a city more eco Ley i Hi czy","$3.6\pm0.4"
"warm fluency","WHERE6 cantre cityzystitz divent more eco GreeZcapt","$2.2\pm0.3"
"warm prune","conserplaninger eco'(friendly jak porei cities..","$5.0\pm0.4"
"Ground truth","Write a customer service response to address the following customer inquiry: """"I received the wrong item, what""","$0.0\pm0.0"
"GPT-4 warm","Write a customer service response to a customer who received the wrong item in their order.","8.6±0.7"
"GPT-4 warm + fluency","Write a customer service response to a customer who received the wrong item in their order.","$8.6\pm0.7"
"GPT-4 warm + prune","Draft a letter apologising to a customer for shipping a wrong product","$24.8\pm0.6"
"cold start","authentic notes Altern Messageanti Modal cargo return","$14.4\pm0.5"
"warm start","Write a customer service responseutions Lim received the wrong item?","$0.9\pm0.1"
"warm fluency","Write E customer service response pagelip wheneverin received the wrong thingunosObj Pala(""""","$1.7\pm0.2"
"warm + prune","volunte Develop Develop footer amenuy f fort reply for shipping a wrongatve","$5.4\pm0.4"
"Ground truth","Imagine you are talking to a customer who is looking for advice on choosing a phone system. Write a reply tha","$0.0\pm0.0"
"GPT-4 warm","I am tasked with finding a new phone system for my company. Can you provide some guidance on factors to e","$36.2\pm0.\$$"
"GPT-4 warm + fluency","What should I consider when choosing a phone system for my business?","$38.5\pm0.8"
"GPT-4 warm + prune","I am tasked with finding a new phone system for my company. Can you provide some guidance on factors to e","$36.2\pm0.9"
"cold start","Pref uting ParDATE free Pumber call","$24.4\pm0.5"
"warm start","Please svolould anotherpat prospect a choosing phone systemNov!!!Hello))] indschließend telling buyon S","$7.4\pm0.4"
"warm + fluency","interviewyou bud Remative choosing a phone system You Di úconsole","$10.2\pm0.6"
"warm + prune","Neu strateghir conversation smiledbara Zach selects phone system (dbkovtele valle TERew some guidance vs","$10.6+0.8"
"Ground truth","I started eating healthier.","$0.0\pm0.0"
"GPT-4 warm","Explain how you made improvements to your eating habits.","$41.8\pm0.7"
"GPT-4 warm + fluency","Explain how you made improvements to your eating habits.","$11.8\pm0.7"
"GPT-4 warm + prune","Narrate the changes you made to transition to a nutritious diet.","$44.1\pm0.7"
"cold start","began craw higher cебя","$23.8\pm0.9"
"warm start","Durch converные)/ made improvements to your eating habits Comment","$23.9\pm0.6"
"warm fluency","завоhe keen Has commence improvements Story your eating habits.","$26.7\pm0.6"
"warm + prune","THEN begine You conversionnumerableDC beginjor to platejdacious diet.","$17.7\pm0.7"
"Ground truth.","Give 5 examples of common family values.","$0.0+0.0"
"GPT-4 warm","Can you share examples of widely accepted family values?","$9.0\pm0.6"
"GPT-4 warm + fluency","What principles do most families abide by?","$16.9\pm0.8"
"GPT-4 warm + prune","What values does a typical family have?","$16.6\pm0.6"
"cold start","some Organ mésorsedom) family principles comпов","$12.3\pm0.5"
"warm start","letzten bott Five examples ofècommon family valuesily","$2.2+0.9"
"warm fluency","examples T most families valuesetaips Activ","$8.0\pm0.4"
